
me": "61.99213", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes Response, "length": "80", "info": "Link Status"}
{"time": "118.339168", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": ", "info": "ZCL: Read Attributes Response, Seq: 195"}
{"time": "542.810829", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes, Seq: 114"}
{"time": "24.118346", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes, Seq: 200"}
{"time": "113.379558", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes Response, Seq: 132"}
{"time": "412.368014", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "61", "info": "ZCL: Read Attributes Response, Seq: 28"}
{"time": "483.043656", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "62", "info": "ZCL: Read Attributes Response, Seq: 111"}
{"time": "59.650023", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "69", "info": "ZCL: Read Attributes, Seq: 161"}
{"time": "53.201748", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee A", "length": "56", "info": "ZCL: Read Attributes, Seq: 250"}
{"time": "284.630485", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "61", "info": "ZCL: Read Attributes Respoonse, Seq: 238"}
{"time": "528.523363", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "61", "info": "ZCL: Read Attributes Response, Seq: 287"}
{"time": "145.744437", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "6", "info": "ZCL: Read Attributes Response, Seq: 132"}
{"time": "476.303840", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "61", "info": "ZCL: Read Attributes, Seq: 156"}
{"time": "322.328544", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "69", "info": "ZCL: Read Attributes Response, Seq: 186"}
{"time": "184.39667", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "52", "info": "ZCL: Read Attributes, Seq: 139"}
{"time": "211.62646", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributese Response, Seq: 168"}
{"time": "518.027156", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "66", "info": "ZCL: Read Attributes Response, Seq: 20"}
{"time": "29.1454784", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "69", "info": "ZCL: Read Attributes Response, Seq: 216"}
{"time": "54.143773", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "62", "info": "ZCL: Read Attributes, Seq: 210"}
{"time": "386.765354", "src": "0x1de6", "dst": "0xfffc", "prrotocol": "ZigBee", "length": "50", "info": "Link Status"}
{"time": "10x1.d66", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "52", "info": "ZCL: Read Attributes Response, Seq: 239"}
{"time": "24.586288", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "69", "info": "ZCL: Read Attributes Response, Seq: 99"}
{"time": "427.388479", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "52", "info": "ZCL: Read Attributes Response, Seq: 153"}
{"time": "528.285622", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes, Seq: 14"}
{"time": "380.616007", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "51", "info": "ZCL: Read Attributes Response, Seq: 116"}
{"time": "47.7354436", "src": "0x1de6", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "61", "info": "ZCL: Read Attributes, Seq: 28"}
{"time": "253.383062", "src": "0x1de6", "dst": "0xfffc", "protocol": "ZigBBee", "length": "50", "info": "ZCL: Read Attributes Response, Seq: 256"}
{"time": "13.064787", "src": "0xd7a7", "dst": "0x11de6", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes Response, Seq: 159"}
{"time": "116.49650", "src": "0x1de6", "dst": "0xfffc", "protocol": "ZigBee", "length": "80", "info": "Link Status"}
{"time": "16.521317", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "69", "info": "ZCL: Read Attributes Response, Seq: 11"}
{"time": "238.271594", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "61", "info": "ZCL: Read Attributes Response, Seq: 77"}
{"time": "520.46531", "src": "0x1de6", "dst": "0xfffc", "protocol": "ZigBee", "length": "80", "info": "Link Status"}
{"time": "49.150633", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "56", "info": "ZLL: Read Attributes, Seq: 19"}
{"time": "322.514544", "src": "0x1de6", "dst": "0xfffc", "protocol": "ZigBee", "length": "80", "info": "Link Status"}
{"time": "22.9413625", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "16", "info": "ZCL: Read Attributes Response, Seq: 47"}
{"time": "53.046897", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "lengh": "69", "info": "ZCL: Read Attributes Response, Seq: 240"}
{"time": "275.282884", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "56", "info": "Link Status"}
{"time": "14.654692", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes Response, Seq: 186"}
{"time": "44.204016", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes, Seq: 111"}
{"time": "447.778516", "src": "0x1de6", "dst": "0xfffc", "protocol": "ZigBee", "length": "80", "info": "Link Status"}
{"time": "16.120737", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes Response, Seq: 188"}
{"time": "468.549244", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "52", "info": "ZCL: Read Attributes, Seq: 127"}
{"time": "50.997893", "src": "0x1de6", "dst": "0xfffc", "protocol": "ZigBee", "length": "69", "info": "ZCL: Read Attributes, Seq: 216"}
{"time": "263.92837", "src": "0xd7a7", "dst": "0x1de6", "protocol": 
